chr	start	end	B06_VOA1056_H3K27Ac_hg37	B07_OAW	
chr1	2478591	2479386	1.000000	1.000000
chr1	2479691	2480897	1.000000	1.000000
chr1	2486760	2488701	1.000000	0.000000
chr1	2506897	2511014	0.000000	1.000000
chr1	2514647	2515794	0.000000	1.000000
chr1	2516327	2519677	0.592239	1.000000
chr1	2517058	2519042	1.000000	1.000000
chr1	2541580	2544499	0.000000	1.000000
chr1	2572841	2575163	0.488372	1.000000
chr1	2573560	2574694	1.000000	1.000000
chr1	3230008	3230434	1.000000	0.000000
chr1	3369539	3372623	0.111219	1.000000
chr1	3371170	3371513	1.000000	1.000000
chr1	3374406	3378556	0.000000	1.000000
chr1	3378651	3379203	0.000000	1.000000
chr1	3420486	3421459	1.000000	0.000000
chr1	3424947	3433994	0.000000	1.000000
chr1	3445634	3449039	0.234068	1.000000
chr1	3447154	3447951	1.000000	1.000000
chr1	3456386	3456740	1.000000	0.000000
chr1	3458943	3460523	1.000000	0.000000
chr1	3527378	3528889	0.000000	1.000000
chr1	3540274	3542629	0.512102	1.000000
chr1	3540800	3541306	1.000000	1.000000
chr1	3541566	3542266	1.000000	1.000000
chr1	3565870	3566807	0.438634	1.000000
chr1	3566182	3566593	1.000000	1.000000
chr1	3568401	3569514	0.000000	1.000000
chr1	3591079	3591290	1.000000	0.000000
chr1	3597006	3598353	0.000000	1.000000
chr1	3663025	3664241	0.340461	1.000000
chr1	3663500	3663914	1.000000	1.000000
chr1	3687955	3695246	0.188314	1.000000
chr1	3688718	3688981	1.000000	1.000000
chr1	3689258	3689769	1.000000	1.000000
chr1	3691322	3691550	1.000000	1.000000
chr1	3691749	3692120	1.000000	1.000000
chr1	3711424	3714069	0.517958	1.000000
chr1	3712150	3713520	1.000000	1.000000
chr1	3772671	3775281	0.493870	1.000000
chr1	3773117	3773972	1.000000	1.000000
chr1	3774155	3774589	1.000000	1.000000
chr1	3815828	3818499	0.786222	1.000000
chr1	3816045	3818145	1.000000	1.000000
chr1	4016708	4017062	1.000000	0.000000
chr1	4712402	4714004	0.000000	1.000000
chr1	4714340	4716575	0.000000	1.000000
chr1	5462211	5464775	0.000000	1.000000
chr1	5464983	5466239	0.000000	1.000000
chr1	5482118	5490378	0.000000	1.000000
chr1	5776554	5779362	0.000000	1.000000
chr1	5948010	5948324	1.000000	0.000000
chr1	6039923	6041490	0.000000	1.000000
chr1	6051225	6053191	0.590030	1.000000
chr1	6051615	6052551	1.000000	1.000000
chr1	6052811	6053035	1.000000	1.000000
chr1	6085505	6086214	1.000000	0.000000
chr1	6086489	6087109	1.000000	0.000000
chr1	6187016	6187985	0.000000	1.000000
chr1	6209161	6209347	1.000000	0.000000
chr1	6257801	6260807	0.566534	1.000000
chr1	6258682	6260385	1.000000	1.000000
chr1	6264744	6268264	0.523295	1.000000
chr1	6264799	6265156	1.000000	1.000000
chr1	6265457	6266942	1.000000	1.000000
chr1	6293835	6297405	0.494958	1.000000
chr1	6294752	6296519	1.000000	1.000000
chr1	6317315	6317720	1.000000	0.000000
chr1	6319961	6321742	0.570466	1.000000
chr1	6320233	6320925	1.000000	1.000000
chr1	6321302	6321626	1.000000	1.000000
chr1	6327220	6327705	1.000000	0.000000
chr1	6328485	6329227	1.000000	0.000000
chr1	6408049	6409318	1.000000	0.000000
chr1	6411199	6415397	0.115769	1.000000
chr1	6414050	6414536	1.000000	1.000000
chr1	6416468	6422256	0.229267	1.000000
chr1	6419403	6420730	1.000000	1.000000
chr1	6441589	6444139	0.000000	1.000000
chr1	6444582	6448777	0.340167	1.000000
chr1	6445162	6445762	1.000000	1.000000
chr1	6446054	6446881	1.000000	1.000000
chr1	6451872	6454672	0.441429	1.000000
chr1	6453160	6454396	1.000000	1.000000
chr1	6472604	6472943	1.000000	0.000000
chr1	6473107	6475318	1.000000	0.633650
chr1	6473917	6475777	0.753226	1.000000
chr1	6479197	6481393	0.508652	1.000000
chr1	6479265	6480382	1.000000	1.000000
chr1	6482812	6484675	1.000000	0.000000
chr1	6497249	6497982	1.000000	0.000000
chr1	6498239	6501246	0.164948	1.000000
chr1	6499861	6500357	1.000000	1.000000
chr1	6507299	6507916	1.000000	0.000000
chr1	6531320	6532753	1.000000	0.000000
chr1	6533365	6533596	1.000000	0.000000
chr1	6535164	6539006	0.000000	1.000000
chr1	6545031	6546274	1.000000	0.000000
chr1	6548308	6552387	0.903898	1.000000
chr1	6548700	6553472	1.000000	0.772632
chr1	6556308	6558248	0.893814	1.000000
chr1	6556366	6558100	1.000000	1.000000
chr1	6613003	6615553	0.431765	1.000000
chr1	6613723	6614824	1.000000	1.000000
chr1	6639126	6641490	0.767766	1.000000
chr1	6639486	6641301	1.000000	1.000000
chr1	6659616	6659934	1.000000	0.000000
chr1	6660214	6663855	0.989289	1.000000
chr1	6660253	6665098	1.000000	0.743447
chr1	6672325	6676483	0.758778	1.000000
chr1	6672579	6675734	1.000000	1.000000
chr1	6684008	6686747	0.505659	1.000000
chr1	6685031	6686416	1.000000	1.000000
chr1	6713020	6715205	0.167048	1.000000
chr1	6713383	6713748	1.000000	1.000000
chr1	6760516	6762680	0.415434	1.000000
chr1	6761070	6761969	1.000000	1.000000
chr1	6784352	6784584	1.000000	0.000000
chr1	6803313	6804556	1.000000	0.000000
chr1	6843412	6846539	0.601535	1.000000
chr1	6844077	6845175	1.000000	1.000000
chr1	6845510	6846293	1.000000	1.000000
chr1	6919691	6920123	1.000000	0.000000
chr1	6920583	6920969	1.000000	0.000000
chr1	7021390	7022565	0.000000	1.000000
chr1	7023407	7024201	0.000000	1.000000
chr1	7177317	7178253	0.000000	1.000000
chr1	7208738	7210450	0.000000	1.000000
chr1	7287735	7289476	0.000000	1.000000
chr1	7289579	7291378	0.000000	1.000000
chr1	7293635	7295892	0.000000	1.000000
chr1	7323678	7328329	0.000000	1.000000
chr1	7359483	7360032	1.000000	0.000000
chr1	7438889	7439074	1.000000	0.000000
chr1	7439603	7440618	1.000000	0.000000
chr1	7445981	7446330	1.000000	0.000000
chr1	7461218	7466031	0.000000	1.000000
chr1	7529706	7530219	1.000000	0.000000
chr1	7530798	7532545	1.000000	0.000000
chr1	7549590	7552943	0.000000	1.000000
chr1	7608199	7613789	0.352594	1.000000
chr1	7609015	7610986	1.000000	1.000000
chr1	7661124	7661334	1.000000	0.000000
chr1	7739858	7741229	0.738147	1.000000
chr1	7740141	7741153	1.000000	1.000000
chr1	7763775	7765465	0.628994	1.000000
chr1	7763863	7764219	1.000000	1.000000
chr1	7764758	7765470	1.000000	0.992977
chr1	7830634	7832499	0.610188	1.000000
chr1	7830905	7832043	1.000000	1.000000
chr1	7842984	7845029	0.453790	1.000000
chr1	7843309	7843866	1.000000	1.000000
chr1	7844378	7844749	1.000000	1.000000
chr1	8013716	8014930	0.682867	1.000000
chr1	8013900	8014729	1.000000	1.000000
chr1	8020696	8023375	0.580814	1.000000
chr1	8021032	8022588	1.000000	1.000000
chr1	8061353	8068132	0.211536	1.000000
chr1	8064545	8065979	1.000000	1.000000
chr1	8074044	8089548	0.330108	1.000000
chr1	8078076	8081116	1.000000	1.000000
chr1	8085308	8087386	1.000000	1.000000
chr1	8106632	8106837	1.000000	0.000000
chr1	8107266	8108783	1.000000	0.000000
chr1	8135331	8135985	1.000000	0.000000
chr1	8136236	8138888	1.000000	0.000000
chr1	8149151	8151948	1.000000	0.000000
chr1	8153932	8159271	0.486983	1.000000
chr1	8156297	8158406	1.000000	1.000000
chr1	8158556	8159047	1.000000	1.000000
chr1	8175705	8184041	0.196977	1.000000
chr1	8180572	8182214	1.000000	1.000000
chr1	8193197	8194249	1.000000	0.000000
chr1	8196799	8199067	1.000000	0.000000
chr1	8201484	8201784	1.000000	0.000000
chr1	8207478	8208676	1.000000	0.000000
chr1	8214690	8216358	1.000000	0.637290
chr1	8215295	8216403	0.959386	1.000000
chr1	8224602	8235880	0.155258	1.000000
chr1	8228875	8230626	1.000000	1.000000
chr1	8240338	8245829	0.447642	1.000000
chr1	8241793	8244251	1.000000	1.000000
chr1	8258110	8258641	1.000000	0.000000
chr1	8260783	8263476	1.000000	0.000000
chr1	8270970	8273304	1.000000	0.000000
chr1	8276987	8277853	1.000000	0.000000
chr1	8284661	8285010	1.000000	0.000000
chr1	8297692	8301099	0.000000	1.000000
chr1	8304213	8310187	0.000000	1.000000
chr1	8310317	8311131	0.000000	1.000000
chr1	8316144	8322711	0.114207	1.000000
chr1	8318453	8318894	1.000000	1.000000
chr1	8319334	8319643	1.000000	1.000000
chr1	8324451	8330249	0.000000	1.000000
chr1	8372353	8375149	0.000000	1.000000
chr1	8378107	8378564	1.000000	0.000000
chr1	8402912	8404267	0.712915	1.000000
chr1	8403301	8404345	1.000000	0.925287
chr1	8432847	8435076	1.000000	0.804397
chr1	8433283	8436309	0.592531	1.000000
chr1	8441384	8442526	1.000000	0.000000
chr1	8455001	8457064	1.000000	0.000000
chr1	8457283	8458519	1.000000	0.000000
chr1	8465779	8486309	0.085777	1.000000
chr1	8482731	8484492	1.000000	1.000000
chr1	8499247	8499649	1.000000	0.000000
chr1	8535123	8548636	0.000000	1.000000
chr1	8550918	8555119	0.000000	1.000000
chr1	8566566	8568390	0.000000	1.000000
chr1	8584445	8586726	0.236738	1.000000
chr1	8585384	8585924	1.000000	1.000000
chr1	8721023	8721756	1.000000	0.000000
chr1	8722077	8722490	1.000000	0.000000
chr1	8723759	8724052	1.000000	0.000000
chr1	8759551	8764150	0.128506	1.000000
chr1	8762974	8763565	1.000000	1.000000
chr1	8770645	8778464	0.000000	1.000000
chr1	8793020	8795019	0.000000	1.000000
chr1	8873355	8879050	0.307112	1.000000
chr1	8876894	8878643	1.000000	1.000000
chr1	8881099	8883068	0.097004	1.000000
chr1	8882433	8882624	1.000000	1.000000
chr1	8884622	8888264	0.000000	1.000000
chr1	8908569	8908893	1.000000	0.000000
chr1	8917007	8920755	0.347919	1.000000
chr1	8917782	8918098	1.000000	1.000000
chr1	8918415	8918713	1.000000	1.000000
chr1	8919191	8919521	1.000000	1.000000
chr1	8919784	8920144	1.000000	1.000000
chr1	8922545	8923058	1.000000	0.270955
chr1	8922919	8954298	0.346123	1.000000
chr1	8929310	8929993	1.000000	1.000000
chr1	8931568	8932963	1.000000	1.000000
chr1	8933142	8933630	1.000000	1.000000
chr1	8933892	8940694	1.000000	1.000000
chr1	8949636	8949835	1.000000	1.000000
chr1	8950047	8951202	1.000000	1.000000
chr1	8958721	8966812	0.387468	1.000000
chr1	8959288	8960038	1.000000	1.000000
chr1	8960278	8960572	1.000000	1.000000
chr1	8962508	8964133	1.000000	1.000000
chr1	8964284	8964750	1.000000	1.000000
chr1	8976368	8979263	0.000000	1.000000
chr1	9046518	9047006	1.000000	0.000000
chr1	9060943	9063003	0.000000	1.000000
chr1	9103030	9105860	0.000000	1.000000
chr1	9127007	9127424	1.000000	0.000000
chr1	9140501	9142317	0.000000	1.000000
chr1	9168349	9171944	0.000000	1.000000
chr1	9174434	9174658	1.000000	0.000000
chr1	9187616	9190399	0.704276	1.000000
chr1	9188086	9190046	1.000000	1.000000
chr1	9191321	9191688	1.000000	0.000000
chr1	9191907	9192225	1.000000	0.000000
chr1	9202729	9203616	1.000000	0.000000
chr1	9203844	9204205	1.000000	0.000000
chr1	9205058	9205436	1.000000	0.000000
chr1	9205602	9206236	1.000000	0.000000
chr1	9214353	9214626	1.000000	0.000000
chr1	9221097	9226875	0.911388	1.000000
chr1	9221389	9221847	1.000000	1.000000
chr1	9222067	9227603	1.000000	0.868497
chr1	9238790	9244075	0.564049	1.000000
chr1	9240651	9243632	1.000000	1.000000
chr1	9256173	9257094	1.000000	0.000000
chr1	9260798	9262260	1.000000	0.000000
chr1	9291966	9292211	1.000000	0.000000
chr1	9293275	9294551	1.000000	0.373041
chr1	9294075	9296314	0.679321	1.000000
chr1	9294798	9295843	1.000000	1.000000
chr1	9299847	9300668	1.000000	0.000000
chr1	9304441	9304772	1.000000	0.000000
chr1	9304992	9305364	1.000000	0.000000
chr1	9335949	9336212	1.000000	0.000000
chr1	9340752	9341254	1.000000	0.000000
chr1	9349060	9356116	0.569161	1.000000
chr1	9349774	9350150	1.000000	1.000000
chr1	9350414	9351805	1.000000	1.000000
chr1	9352193	9354442	1.000000	1.000000
chr1	9358499	9361906	0.188142	1.000000
chr1	9360043	9360684	1.000000	1.000000
chr1	9362451	9363333	1.000000	0.000000
chr1	9363901	9364211	1.000000	0.000000
chr1	9371912	9378021	0.236536	1.000000
chr1	9375948	9376971	1.000000	1.000000
chr1	9377348	9377588	1.000000	1.000000
chr1	9377839	9378876	1.000000	0.452266
chr1	9378136	9378423	1.000000	1.000000
chr1	9380844	9381566	1.000000	0.000000
chr1	9381808	9382198	1.000000	0.000000
chr1	9430529	9432525	0.000000	1.000000
chr1	9432612	9435133	0.000000	1.000000
chr1	9437386	9437666	1.000000	0.000000
chr1	9459382	9462285	0.000000	1.000000
chr1	9470643	9475330	0.174525	1.000000
chr1	9473051	9473304	1.000000	1.000000
chr1	9473455	9474020	1.000000	1.000000
chr1	9488282	9489953	0.205865	1.000000
chr1	9489224	9489568	1.000000	1.000000
chr1	9497963	9498840	1.000000	0.000000
chr1	9498978	9499869	1.000000	0.000000
chr1	9578475	9583316	0.000000	1.000000
chr1	9597863	9603605	0.124347	1.000000
chr1	9599558	9600272	1.000000	1.000000
chr1	9624681	9627079	0.000000	1.000000
chr1	9648177	9650441	0.468640	1.000000
chr1	9648863	9649924	1.000000	1.000000
chr1	9652140	9654909	0.000000	1.000000
chr1	9731809	9732179	1.000000	0.000000
chr1	9746831	9750480	0.659085	1.000000
chr1	9747053	9748428	1.000000	1.000000
chr1	9749134	9749390	1.000000	1.000000
chr1	9749706	9751033	1.000000	0.583271
chr1	9759846	9760505	1.000000	0.000000
chr1	9760779	9761145	1.000000	0.000000
chr1	9777371	9782467	0.096546	1.000000
chr1	9779529	9780021	1.000000	1.000000
chr1	9822698	9828386	0.342651	1.000000
chr1	9824223	9824535	1.000000	1.000000
chr1	9825978	9826919	1.000000	1.000000
chr1	9827070	9827766	1.000000	1.000000
chr1	9838419	9886469	0.069865	1.000000
chr1	9882829	9884072	1.000000	1.000000
chr1	9884260	9886374	1.000000	1.000000
chr1	9886615	9887411	0.000000	1.000000
chr1	9895387	9897059	1.000000	0.000000
chr1	9912089	9912556	1.000000	0.000000
chr1	9923441	9928521	0.346260	1.000000
chr1	9924979	9925501	1.000000	1.000000
chr1	9925723	9926737	1.000000	1.000000
chr1	9926971	9927194	1.000000	1.000000
chr1	9932497	9932872	1.000000	0.000000
chr1	9941238	9943139	1.000000	0.000000
chr1	9949677	9950553	1.000000	0.000000
chr1	9950719	9951754	1.000000	0.000000
chr1	9952343	9954165	1.000000	0.000000
chr1	9969125	9972194	0.422939	1.000000
chr1	9969597	9970311	1.000000	1.000000
chr1	9970691	9971275	1.000000	1.000000
chr1	10001690	10004637	0.552087	1.000000
chr1	10002591	10004218	1.000000	1.000000
chr1	10009662	10012718	0.000000	1.000000
chr1	10018074	10022035	0.000000	1.000000
chr1	10090529	10096306	0.127056	1.000000
chr1	10092997	10093731	1.000000	1.000000
chr1	10124859	10126094	0.000000	1.000000
chr1	10269565	10272627	0.895493	1.000000
chr1	10269640	10272382	1.000000	1.000000
chr1	10340269	10341119	1.000000	0.000000
chr1	10445600	10450085	0.000000	1.000000
chr1	10457667	10461520	0.160135	1.000000
chr1	10459074	10459691	1.000000	1.000000
chr1	10474196	10476763	0.776393	1.000000
chr1	10474480	10476473	1.000000	1.000000
chr1	10489959	10491986	0.598421	1.000000
chr1	10490212	10491425	1.000000	1.000000
chr1	10531364	10533612	0.290036	1.000000
chr1	10531954	10532606	1.000000	1.000000
chr1	10534291	10536044	0.476897	1.000000
chr1	10534925	10535761	1.000000	1.000000
chr1	10555349	10556903	1.000000	0.000000
chr1	10568314	10568877	1.000000	0.000000
chr1	10569036	10573037	1.000000	0.000000
chr1	10573263	10573495	1.000000	0.000000
chr1	10575329	10577440	1.000000	0.000000
chr1	10586811	10591764	1.000000	0.000000
chr1	10601230	10601609	1.000000	0.000000
chr1	10621873	10622172	1.000000	0.000000
chr1	10635395	10635743	1.000000	0.000000
chr1	10657662	10662028	0.420064	1.000000
chr1	10659147	10660769	1.000000	1.000000
chr1	10660973	10661185	1.000000	1.000000
chr1	10687259	10687640	1.000000	0.000000
chr1	10694287	10696635	1.000000	0.000000
chr1	10725346	10725637	1.000000	0.000000
chr1	10726196	10727387	1.000000	0.000000
chr1	10735365	10735825	1.000000	0.000000
chr1	10739954	10740214	1.000000	0.000000
chr1	10753656	10754268	1.000000	0.000000
chr1	10754684	10755418	0.453678	1.000000
chr1	10755085	10755546	1.000000	0.722343
chr1	10838512	10839346	1.000000	0.729017
chr1	10838738	10840590	0.625810	1.000000
chr1	10839501	10840052	1.000000	1.000000
chr1	10855871	10856632	1.000000	0.766097
chr1	10856049	10857223	0.496593	1.000000
chr1	10884462	10885162	1.000000	0.000000
chr1	10895372	10896933	0.000000	1.000000
chr1	10926768	10927246	1.000000	0.000000
chr1	10959645	10962023	1.000000	0.598823
chr1	10960599	10962339	0.818391	1.000000
chr1	11070974	11073932	0.417512	1.000000
chr1	11072259	11073494	1.000000	1.000000
chr1	11117970	11121582	0.437431	1.000000
chr1	11118961	11120007	1.000000	1.000000
chr1	11120309	11120843	1.000000	1.000000
chr1	11158853	11160925	0.658784	1.000000
chr1	11159071	11160436	1.000000	1.000000
chr1	11218442	11218667	1.000000	0.000000
chr1	11228499	11228750	1.000000	0.000000
chr1	11229237	11229589	1.000000	0.000000
chr1	11239300	11241509	0.260751	1.000000
chr1	11240099	11240434	1.000000	1.000000
chr1	11240785	11241026	1.000000	1.000000
chr1	11321016	11324056	0.365789	1.000000
chr1	11321965	11322647	1.000000	1.000000
chr1	11322858	11323288	1.000000	1.000000
chr1	11333133	11334892	0.359864	1.000000
chr1	11333227	11333860	1.000000	1.000000
chr1	11538591	11539576	0.226396	1.000000
chr1	11538962	11539185	1.000000	1.000000
chr1	11708433	11711515	0.000000	1.000000
chr1	11712919	11716233	0.496982	1.000000
chr1	11713650	11714822	1.000000	1.000000
chr1	11714960	11715435	1.000000	1.000000
chr1	11723558	11725568	0.339801	1.000000
chr1	11724301	11724984	1.000000	1.000000
chr1	11740103	11742270	0.525611	1.000000
